Brand	Model	Serviciu	Pret
iphone	iPhone 11	Acumulator	250
iphone	iPhone 11	Buton Power - Volum	290
iphone	iPhone 11	Camera Principala	300
iphone	iPhone 11	Carcasa Completa	450
iphone	iPhone 11	Curatare Apa (Oxid)	200
iphone	iPhone 11	Difuzor / Buzzer	200
iphone	iPhone 11	Display Aftermarket	350
iphone	iPhone 11	Display ORIGINAL	500
iphone	iPhone 11	Flex Proxy	350
iphone	iPhone 11	Folii de Protectie	100
iphone	iPhone 11	Geam Camera	170
iphone	iPhone 11	Microfon	250
iphone	iPhone 11	Modul Incarcare	250
iphone	iPhone 11	Montaj Placa de Baza	200
iphone	iPhone 11	Reconditionare Sticla Spate	450
iphone	iPhone 11	Resoftare / Update	150
iphone	iPhone 11	Sticla LCD	400
iphone	iPhone 11	Sticla Spate	380
iphone	iPhone 11 Pro	Acumulator	250
iphone	iPhone 11 Pro	Buton Power - Volum	150
iphone	iPhone 11 Pro	Camera Principala	350
iphone	iPhone 11 Pro	Carcasa Completa	450
iphone	iPhone 11 Pro	Curatare Apa (Oxid)	200
iphone	iPhone 11 Pro	Difuzor / Buzzer	200
iphone	iPhone 11 Pro	Display Aftermarket	350
iphone	iPhone 11 Pro	Display ORIGINAL	500
iphone	iPhone 11 Pro	Flex Proxy	350
iphone	iPhone 11 Pro	Folii de Protectie	100
iphone	iPhone 11 Pro	Geam Camera	180
iphone	iPhone 11 Pro	Microfon	300
iphone	iPhone 11 Pro	Modul Incarcare	300
iphone	iPhone 11 Pro	Montaj Placa de Baza	200
iphone	iPhone 11 Pro	Reconditionare Sticla Spate	320
iphone	iPhone 11 Pro	Resoftare / Update	150
iphone	iPhone 11 Pro	Sticla LCD	400
iphone	iPhone 11 Pro	Sticla Spate	380
iphone	iPhone 11 Pro Max	Acumulator	260
iphone	iPhone 11 Pro Max	Buton Power - Volum	150
iphone	iPhone 11 Pro Max	Camera Principala	350
iphone	iPhone 11 Pro Max	Carcasa Completa	450
iphone	iPhone 11 Pro Max	Curatare Apa (Oxid)	200
iphone	iPhone 11 Pro Max	Difuzor / Buzzer	200
iphone	iPhone 11 Pro Max	Display Aftermarket	370
iphone	iPhone 11 Pro Max	Display ORIGINAL	650
iphone	iPhone 11 Pro Max	Flex Proxy	350
iphone	iPhone 11 Pro Max	Folii de Protectie	100
iphone	iPhone 11 Pro Max	Geam Camera	220
iphone	iPhone 11 Pro Max	Microfon	350
iphone	iPhone 11 Pro Max	Modul Incarcare	350
iphone	iPhone 11 Pro Max	Montaj Placa de Baza	200
iphone	iPhone 11 Pro Max	Reconditionare Sticla Spate	400
iphone	iPhone 11 Pro Max	Resoftare / Update	150
iphone	iPhone 11 Pro Max	Sticla LCD	400
iphone	iPhone 11 Pro Max	Sticla Spate	380
iphone	iPhone 12	Acumulator	400
iphone	iPhone 12	Buton Power - Volum	250
iphone	iPhone 12	Camera Principala	400
iphone	iPhone 12	Carcasa Completa	500
iphone	iPhone 12	Curatare Apa (Oxid)	200
iphone	iPhone 12	Difuzor / Buzzer	250
iphone	iPhone 12	Display Aftermarket	380
iphone	iPhone 12	Display ORIGINAL	700
iphone	iPhone 12	Flex Proxy	350
iphone	iPhone 12	Folii de Protectie	100
iphone	iPhone 12	Geam Camera	300
iphone	iPhone 12	Microfon	350
iphone	iPhone 12	Modul Incarcare	350
iphone	iPhone 12	Montaj Placa de Baza	200
iphone	iPhone 12	Reconditionare Sticla Spate	400
iphone	iPhone 12	Resoftare / Update	150
iphone	iPhone 12	Sticla LCD	500
iphone	iPhone 12	Sticla Spate	400
